custom_id,full_name,email,password,role,department,phone,class
24DCE006,dce006,24dce006@gmail.com,$2a$10$B7FKwr.6UA43xIpPYkswkOcZ6OjZBICgZ1LdcTN4BroV424b/jiPe,Student,Computer Engineering,1234567891,4CE1
24DCE007,dce007,24dce007@gmail.com,$2a$10$A7jE.nCj.DI/ebpnY/pbEuZtn4OnchWOfSWAIBgptrm0dpdfd7DcC,Student,Computer Engineering,1234567892,4CE1
24DCE008,dce008,24dce008@gmail.com,$2a$10$iGQ3a0j0ADYBrNuGsBAx7eap70wcH6nBxHtcT/g9QWTr1KcuoGlcS,Student,Computer Engineering,1234567893,4CE1
24DCE009,dce009,24dce009@gmail.com,$2a$10$aaxsGEPZ4zwyp9ho.bB4DOzAwlfxmeBmfodhfL1d/9Ep.a8A2AVTG,Student,Computer Engineering,1234567894,4CE1
24DCE010,dce010,24dce010@gmail.com,$2a$10$bIAkHWVOTWAouxti7qiaCeJRTbSNcGAfyGNRXJ/UOKk8zo/8nbsP6,Student,Computer Engineering,1234567895,4CE1
24DCE011,dce011,24dce011@gmail.com,$2a$10$O3fEotdyqoHvE9.OjjysyOTwg6LKUxOq76CGmpOZpOatZ5yuJ2w76,Student,Computer Engineering,1234567896,4CE1
24DCE012,dce012,24dce012@gmail.com,$2a$10$Mr6mBGgXJK9Qb0wWkX1BpeyD7m5T2dJK0lI0dr6OjnjCeSW2RnWQy,Student,Computer Engineering,1234567897,4CE1
24DCE013,dce013,24dce013@gmail.com,$2a$10$jBlaLfbaI8wVhQKIn1dRhOZUubjqkl1bqOCXH65XI2CjrDLpc1hfq,Student,Computer Engineering,1234567898,4CE1
24DCE014,dce014,24dce014@gmail.com,$2a$10$ARMnSFO6p3QDWY//jCyfYey8E8mVb8uzDZZQ028be0T7B9SCkgzeG,Student,Computer Engineering,1234567899,4CE1
24DCE015,dce015,24dce015@gmail.com,$2a$10$PrKXlaDTLT4Cah4D/jo1WOZ21SDMcOjSktHSiS3BLysL7vkVdku2i,Student,Computer Engineering,1234567900,4CE1
24DCE016,dce016,24dce016@gmail.com,$2a$10$GluSt6sSuJgMTz7/5u4FhumSc08nFIrhf9qttxjhT/podGFd7rLZm,Student,Computer Engineering,1234567901,4CE1
24DCE017,dce017,24dce017@gmail.com,$2a$10$qPffMP3mclYBuvOzjV8PP.d9u0toyXrCS53gINtGrZsKsBHWddXKW,Student,Computer Engineering,1234567902,4CE1
24DCE018,dce018,24dce018@gmail.com,$2a$10$3ERGv9YCMrH6VDxc3o2k9OfadPBPFG.zlxhO4vF6B79ehw.g.4kY2,Student,Computer Engineering,1234567903,4CE1
24DCE019,dce019,24dce019@gmail.com,$2a$10$0KnM/eLAIqexMJCAPYKbQOg3.Whf9xBlJXXrVTPFRQIb97ybzfV/S,Student,Computer Engineering,1234567904,4CE1
24DCE022,dce022,24dce022@gmail.com,$2a$10$csZPNyd2UpiTNezHlD/D/eih6sHNkvhrqmrMv9iJuj0HrMJCtDYZW,Student,Computer Engineering,1234567907,4CE1
24DCE024,dce024,24dce024@gmail.com,$2a$10$7kBOIi7Bf/0EzdmOVb.eEeDTT9A9JVV8g8AoCcz1xP9fLJULjt0MK,Student,Computer Engineering,1234567909,4CE1
24DCE025,dce025,24dce025@gmail.com,$2a$10$np8suXQJ0EGy1cQOqTCo9ewOy3TILOcDeWpRkiLSTxpbpVILNt8tG,Student,Computer Engineering,1234567910,4CE1
24DCE026,dce026,24dce026@gmail.com,$2a$10$XP38NrwHZ0KBT6npLa4bSuyFw3e1Luncwdz15qY0JZ9JJFT43NnkC,Student,Computer Engineering,1234567911,4CE1
24DCE027,dce027,24dce027@gmail.com,$2a$10$qU4MWXl6IWlAE6CXrO/RguGl3/MNuyFY9370WRtLgcfI6.P8NuwPG,Student,Computer Engineering,1234567912,4CE1
24DCE028,dce028,24dce028@gmail.com,$2a$10$0M0BUcog78LItOzv4EDUuOfXB27eZ/A/WxDRouePqs/WTnDM58s.2,Student,Computer Engineering,1234567913,4CE1
24DCE029,dce029,24dce029@gmail.com,$2a$10$x/utEiYRg/NZ7OnMlXcpWekaijp.afx8wcOQF9L225rnYdaIGzY52,Student,Computer Engineering,1234567914,4CE1
24DCE030,dce030,24dce030@gmail.com,$2a$10$CTVM4fdufXnyi5eD0LTal.vSA4r2ef1hkVUckbiLlIWsq/NwgZ4bW,Student,Computer Engineering,1234567915,4CE1
24DCE031,dce031,24dce031@gmail.com,$2a$10$JctPpuLzLIS.gifucTfDDeW5.u8Eu5h/iIYSf/aGteBGX90t0oGWq,Student,Computer Engineering,1234567916,4CE1
24DCE032,dce032,24dce032@gmail.com,$2a$10$Z0Xql4/MgdKHFGCmoNk.8OeE64oerT043Ckz18HF8PfaKlWt9TqZ.,Student,Computer Engineering,1234567917,4CE1
24DCE033,dce033,24dce033@gmail.com,$2a$10$1XwFzrpJcE0dEIuxlgkUhuw4CqiOYbEAyuToH7OkQfNgEodaFYF6a,Student,Computer Engineering,1234567918,4CE1
24DCE034,dce034,24dce034@gmail.com,$2a$10$KTuoloZPxsg.juVk.grF1es5EyXZGqerF1csS8mBs47nuye9odyWW,Student,Computer Engineering,1234567919,4CE1
